Name,Description,Campus,Research Categories,Citizenship Req,Preferred Major,School/Dept,Professor,More Info
Light-assisted fabrication of biomaterials,"Our lab is interested in developing new biomaterials for applications in regenerative medicine. We work with synthetic and natural materials including hyaluronic acid, alginate, and decellularized tissues. To enable their rapid and user-defined fabrication into biomaterials, the materials are chemically modified to enable light-mediated crosslinking. The fabricated biomaterials can be tailored towards various applications. Examples of these include injectable biomaterials for tissue regeneration and in vitro platforms to probe cell behavior. The SURF projects will explore new directions in the light-assisted fabrication of biomaterials with a special emphasis on controlling physical, mechanical, and biochemical properties to guide cell and tissue function. SURF students will be trained on material synthesis, fabrication techniques, characterization methods, quantitative analysis of biomaterial properties, and in the design of experiments to probe specific hypotheses. These activities will involve a range of instruments, methodologies, and approaches including chemical modification, microscopy, cell culture, and animal experiments. We are seeking motivated students who are interested in gaining hands-on skills in biomaterials development and applications in regenerative medicine. Those with prior experience in a wet-lab environment are especially encouraged to apply.",West Lafayette,"Biological Characterization and Imaging, Biological Simulation and Technology, Cellular Biology, Material Processing and Characterization, Medical Science and Technology","No citizenship requirements, U.S. Citizen, U.S. Permanent Resident",Biomedical Engineering Mechanical Engineering Chemical Engineering Biological Engineering - multiple concentrations,Weldon School of Biomedical Engineering,Taimoor Qazi,www.qazi-lab.com
Lilly-Purdue Research Alliance Center project: nanoparticle formulation and process engineering,"The Lilly-Purdue Research Alliance Center (LPRC) serves as an essential hub for collaborative exploration of new technologies that enhance every phase of pharmaceutical research, from discovery to delivery. The LPRC?? mission is to push the boundaries of science through collective learning and active engagement between Purdue and Lilly researchers. Currently, LPRC researchers at Purdue and Lilly are focused on genetic medicine, intrathecal delivery and nanoparticle drug delivery. This project is related to nanoparticle formulation techniques. The student will become familiar with industrially-relevant formulation strategies and evaluate their utilization as one unit operation that is part of larger processes.",West Lafayette,Nanotechnology,No citizenship requirements,No Major Restriction,Agricultural and Biological Engineering,Kurt Ristroph,https://www.ristrophlab.com/
Localized Deep Learning for Decentralized and Dynamic Environments,"Despite being widely used, global end-to-end learning has several key limitations. It requires centralized computation, making it feasible only on a single device or a carefully synchronized cluster. This restricts its use on unreliable or resource-constrained devices, such as commodity hardware clusters or edge computing networks. Localized deep learning has the potential to develop highly decentralized, parallel, asynchronous, and fault-tolerant algorithms that can learn on heterogeneous hardware devices under dynamic conditions while maintaining comparable model performance. The long-term vision would be an ""Internet of AI"" where devices can continuously learn in any conditions. REU participants will be part of a collaborative team focused on developing novel localized deep learning approaches. The goal is to create a learning algorithm with local objectives that learns rich unsupervised representations in a highly decentralized and fault-tolerant way. As one specific context, suppose a sensor network should be trained to detect a complex or global event such as anomalous activity over a large area of the wilderness. Each sensor has a very incomplete picture of the situation and can communicate with nearby sensors but cannot communicate with a global centralized server. The goal is to implement both width-parallel and depth-parallel learning on an unreliable set of sensor devices that have limited compute power. This project will focus on the fundamental aspects of novel local learning mechanisms in this highly decentralized environment.",West Lafayette,"Big Data/Machine Learning, Deep Learning","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,ECE,David Inouye,N/A
Mass spectrometry of biomolecules and nanoclusters,"We are using mass spectrometry to study the localization of lipids, drugs, and proteins in biological tissues and to prepare novel functional interfaces using well-defined polyatomic ions. The student will work with a graduate student mentor to either perform nanocluster synthesis and characterization using mass spectrometry and electrochemical measurements or to develop new analytical approaches for quantitative analysis of biomolecules in biological samples. We are also developing computational approaches for connecting mass spectrometry imaging data with biochemical pathways. In both projects, the student will be trained to operate state-of-the-art mass spectrometers and perform independent data acquisition and analysis. The student will also work with  scientific literature to obtain a broader understanding of the field.",N/A,"Biological Characterization and Imaging, Medical Science and Technology, Nanotechnology",N/A,N/A,Chemistry,Julia Laskin,https://www.chem.purdue.edu/jlaskin/
Measuring Systemic Inflammatory Effects of Synovial Joint Injury,"In this project, we are interested in the aftermath of synovial joint injury and whether it triggers inflammation or similar effects in other tissues of the body. We will conduct this work in an institution-approved animal model and collect tissues. The student role in this project will be to analyze some of the collected tissues and evaluate the data associated with this analysis.",West Lafayette,"Biological Characterization and Imaging, Medical Science and Technology, Other",No citizenship requirements,Biomedical Engineering Mechanical Engineering Biological Engineering - multiple concentrations,Weldon School of Biomedical Engineering,Deva Chan,https://engineering.purdue.edu/ChanLab
Mechano-transduction in progerin-expressing endothelial cells,"A mutant truncated form of lamin called progerin is responsible for premature aging disease Hutchinson-Gilford progeria syndrome (HGPS). Interestingly, progerin is also found in normal adults, and increases with age. Defective nuclear lamina in aged cells share similarities with nuclei of HGPS cells such as distorted nuclear shape and increased mechano-sensitivity. HGPS patients share something else with older people: the progression of cardiovascular diseases such as atherosclerosis. Endothelial cells in the vasculature are constantly exposed to hemodynamic forces of blood flow on the lumen side. The presence of progerin yielded stiff nucleus, but softer chromatin in nuclear interior, which probably contributed to decreased responsiveness to mechanical stress. In this project, we will develop an endothelial cell line that stably express GFP-fused wildtype lamin and progerin proteins. These cells will be used in flow experiments to examine the effect of shear stress on how progerin affect signaling transduction such as the AMPK pathway, and the subsequent effect on cell homeostasis and aging. Students will be involved in a range of techniques, such as cell culture, transfection, fluorescence live cell imaging, immunohistochemistry, quantitative image analysis, Western blotting, PCR.",Indianapolis,"Biological Characterization and Imaging, Cardiovascular Disease Research, Cellular Biology","U.S. Citizen, U.S. Permanent Resident",Biomedical Engineering Chemical Engineering Biology Biological Engineering - multiple concentrations,Weldon School of Biomedical Engineering,Julie Ji,N/A
Microfluidic system for studying the transport of therapeutics,"The development of a microfluidic model for various therapeutics, ranging from various sizes and concentrations, will be explored. Transport within the hydrogels will be analyzed to generate correlations with the various aspects of the therapeutic solutions. Microfluidic models have been recognized as an interesting alternative to animal models for drug screening. These models can mimic some of the physiological characteristics across solid tumors to the physiological barriers. The therapeutic solution will be injected into one of the microchannels, while the other microchannel wells will have the hydrogel formulations in them. The transport of the therapeutic solution in the hydrogel will be measured by fluorescence microscopy or other techniques.",West Lafayette,Other,U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Arezoo Ardekani,https://engineering.purdue.edu/ComplexFlowLab/
Microstructural control of energetic materials,"The goal of this project is to understand how various material properties affect the microstructure, and thus performance, of energetic materials (i.e. propellants, explosives, pyrotechnics). This project requires U.S. citizenship. The researcher will learn material science and manufacturing principles.",West Lafayette,Material Processing and Characterization,U.S. Citizen,Mechanical Engineering Aeronautical and Astronautical Engineering Materials Engineering Chemical Engineering,Mechanical Engineering,Monique McClain,https://mcclain.team/
Modeling elastic cells in fluid flow,"Overview: Microfluidic devices are increasingly used for lab-on-a-chip technology for medical diagnostics. Mammalian cells are elastic and deform under the flow of a microfluidic device. We want to model the deformation of a cell using elasticity theory combined with simple flow. The objective is to model the deformation of a sphere under a shear flow and visualize the resulting shape. Objectives: 1.	Background reading on elasticity theory. 2.	Set up the equations of motion for an elastic cell in a fluid flow. 3.	Solve the equations of motion either analytically with pen and paper, or numerically using MATLAB/python/ or other coding language. 4.	Main Question: Given a sphere in a shear flow, what shape does it deform to?",West Lafayette,"Biological Simulation and Technology, Fluid Modelling and Simulation, Other",No citizenship requirements,No Major Restriction,Mathematics,Kaitlyn Hood,https://www.math.purdue.edu/~kthood/research.html
Multi-modal Capture of Symptoms Data from Speech or Text with Automatic Annotation to Continuous Analysis of Heart Rhythm: Application in the Ehlers-Danlos Syndromes,"The Ehlers-Danlos syndromes (EDS) are a group of hereditary disorders of connective tissue that exhibit joint hypermobility and skin involvement, with other organs involved in varying degrees depending on the type of EDS.  The most common type, known as the hypermobile type, or hEDS, is still without a known genetic cause.  The manifestations of hEDS extend far beyond the musculoskeletal system and skin; aside from chronic pain, the most debilitating symptoms are due to autonomic nervous system (ANS) impairment.  The precise mechanisms leading to autonomic dysfunction in hEDS are not well understood.  Individuals with hEDS have hyper-elastic veins that allow up to 1/3 of the circulating blood volume to collect in the lower extremities upon standing. This can lead to diminished blood flow and oxygen-carrying capacity to the heart, lungs, and brain. A second possible mechanism is compression of the medulla due to craniocervical instability, which occurs when the tendons and ligaments that hold the head on the neck allow excessive movement between the skull and the cervical spine. Thirdly, people with hEDS are often living in constant pain, sending a consistent message to the brain that the body is under threat. This heightens the expression of the sympathetic ??ight-or-flight??nervous system. Since the parasympathetic nervous system mediates central coordination of ??est-and-digest??functions, heart rhythms, gastrointestinal motility, sleep, and quality-of-life are subsequently impaired.  Due to the rarity of this disease, there have been few long-term symptom profiling studies to understand the nature of symptoms with respect to autonomic dysfunction.  In this project, a student will work with clinicians and graduate students to integrate LLM functionality into a digital Continuous Autonomic Physiologist (dCAP) mobile app in a manner that can transcribe spoken language and automatically tag the event to the dCAP data stream.",West Lafayette,"Cardiovascular Disease Research, Mobile Computing",No citizenship requirements,No Major Restriction,Weldon School of Biomedical Engineering,Matthew Ward,N/A
Multiple Target Tracking Using Influence Diagrams,The project will develop an interactive tool using that extends previously a developed influence diagram Kalman filtering tool to perform Multiple Target Tracking. The student will be developing Python code to extend previously developed code that implements influence diagram Kalman filtering and test cases for the Python code using the MATLAB-based Sensor Fusion and Tracking Toolbox.,West Lafayette,Other,No citizenship requirements,Computer Science,Edwardson School of Industrial Engineering,C. Robert Kenley,https://web.ics.purdue.edu/~ckenley/
Operation and characterization of SPT-100 Hall-effect thruster,"Hall thrusters are widely utilized for spacecraft propulsion including applications in LEO (e.g., Starlink) and deep space exploration (e.g., Deep Space Transport).  In Hall thrusters, a neutral gas propellant is ionized and accelerated in ExB-field configuration, achieving high exhaust velocities in the range of 10 - 50 km/s. In this project, the student will work with the Hall-effect thruster SPT-100. The scope of the project includes operating the thruster and neutralizer (a hollow cathode or an inductively coupled plasma) and measuring the thruster's electrical parameters, exhaust plasma jet properties, and thrust level. The student will utilize Langmuir probes (along with other diagnostics) for measurements of plasma parameters and hanging pendulum thrust stand for thrust measurements. In addition, the student is going to prepare and update related documentation for AAE 521 Plasma Lab.",West Lafayette,Other,No citizenship requirements,Aeronautical and Astronautical Engineering,AAE,Alexey Shashurin,https://engineering.purdue.edu/EPPL
Optimization for Robust Machine Learning,"This project aims to develop advanced optimization techniques to enhance the robustness of machine learning models. Robust machine learning is essential for managing noisy, adversarial, and uncertain data, which are common in real-world applications. The research focuses on designing and analyzing novel algorithms to address these challenges by leveraging theoretical tools such as mathematical optimization, stochastic processes, and statistics. The project seeks to improve model robustness and reliability across diverse domains, contributing to a deeper understanding of the interplay between optimization and machine learning, with practical implementations for solving modern data-driven problems.",West Lafayette,Big Data/Machine Learning,No citizenship requirements,No Major Restriction,School of Industrial Engineering,Miaolan Xie,https://miaolan.github.io/
Optimizing components with multi-material solutions,"Traditional components are made of a monolithic material or repeating building block that are identified and fixed at an early stage in the design process.  There are potential advantages to simultaneously designing the component and materials solution.  The objective of this work is to create specific tools to help support and define compositional gradients, diffusion, and geometry.  These tools will be part of a larger project to develop an integrated set of techniques and processes to produce optimized parts that are based on composition and functional gradients designed within the parts. The anticipated outcome of this research is a framework to integrate the design, analysis, manufacture, inspection, and testing of components, that results in the ability to optimize a materials-centric solution for enhancements in part design and new manufacturing processes to produce these components. The results of this project are expected to make significant advancements to improve component performance, reliability, and sustainability.",West Lafayette,"Big Data/Machine Learning, Composite Materials and Alloys, Material Modeling and Simulation, Material Processing and Characterization",U.S. Citizen,Aeronautical and Astronautical Engineering Materials Engineering Mechanical Engineering,School of Aeronautics and Astronautics,Michael Sangid,https://engineering.purdue.edu/ACME2
Particle-Reinforced Polymers for 3D Printing in Space,"Additive manufacturing, such as 3D printing technology, has great potential to transform space exploration by facilitating the on-demand production of intricate parts and structures in orbit. Several challenges must be overcome to leverage the potential of effectively 3D printing for space-grade applications. These challenges include limitations in printing speed, resolution, and material qualities. Ensuring the reliability and functionality of 3D-printed devices is crucial in the hostile space environment, where dependability, longevity, and efficiency are essential. To tackle these obstacles, cutting-edge materials and printing methods must be developed tailored to the particular space requirements. Polymer composites could offer an attractive solution by offering adjustable material qualities, including strength, thermal stability, and radiation resistance. The primary objective of this project is to investigate the behavior of a novel soft material that consists of amphiphilic Janus particles in polymer matrices by combining experimental research and computer simulations synergistically. Students working on this project will be tasked with synthesizing Janus particles at and above the colloidal range and mixing them with UV-crosslinkable resins for 3D printing composites. Undergraduate students with a background in chemistry, materials engineering, mechanical engineering, and physics are well-suited to work on the project. Prior experience in 3D printing and CAD will be beneficial.",West Lafayette,"Chemical Catalysis and Synthesis, Composite Materials and Alloys, Material Processing and Characterization, Other",No citizenship requirements,Materials Engineering Chemistry Mechanical Engineering Physics,School of Materials Engineering,Carlos Martinez,N/A
Physics-Informed Machine Learning to Improve the Predictability of Extreme Weather Events,"Atmospheric blocking events and 'Bomb Cyclones' are an important contributor to high impact extreme weather events. Both these weather extremes lead to heat waves, cold spells, droughts, and heavy precipitation episodes, which have dire consequences for the public health, economy, and ecosystem. For example, the blocking-induced heat waves of 2003 in Europe led to tens of thousands of human casualties and tens of billions of dollars of financial damage. Traditionally, prediction of extreme weather events is based on direct numerical simulation of regional or global atmospheric models, which are expensive to conduct and involve a large number of tunable parameters. However, with the rapid rise of data science and machine learning in recent years, this proposed work will apply convolutional neural network to an idealized atmospheric model to conduct predictability analysis of extreme weather events within this model. With this proposed machine-learning algorithm, our project will provide a robust forecast of heat waves and atmospheric blocking with a lead-time of a few weeks. With more frequent record-breaking heat waves in the future, such a prediction will offer a crucial period of time (a few weeks) for our society to take proper preparedness steps to protect our vulnerable citizens. This project is based on developing and verifying the machine learning algorithm for detecting extreme weather events in an idealized model. We will use Purdue?? supercomputer Bell to conduct the simulations. The undergraduate student will play an active and important role in running the idealized model, and participate in developing the algorithms. As an important component of climate preparedness, the proposed work aims to develop a physics-informed machine learning framework to improve predictability of extreme weather events. Closely advised by Prof. Wang, the student will conduct numerical simulations of an idealized and very simple climate model, and use python-based machine learning tools to predict extreme weather events within the model. Prof. Wang will provide weekly tutorial sessions to teach key techniques along with interactive hands-on sessions. The students will get access to the big datasets on Purdue?? Data Depot, analyze and visualize data of an idealized atmospheric model. The student will use convolutional neural networks (CNNs) to train and assess a Machine-Learning model. The student will further use feature tracking algorithm to backward identify the physical structure in the atmosphere that is responsible for the onset of extreme weather events.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Fluid Modelling and Simulation",N/A,No Major Restriction,"Earth, Atmospheric, and Planetary Sciences",Lei Wang,http://leiw.org
Piezo in zebrafish wound closure,Student will characteriza how the mechanical sensitive ion channel Piezo regulate epithelial migration and wound closure in a zebrafish model,West Lafayette,"Cellular Biology, Genetics, Medical Science and Technology",No citizenship requirements,No Major Restriction,Biological Sciences,Qing Deng,https://www.denglab.us/
Post Detonation Fireballs and Explosive Driven Shock Waves,"This research topic seeks to explore the reactions and induced gas shocks occurring after a detonation. This includes It will involve advanced sample preparation of the explosives and added metal fuels or other additives, and dynamic experiments. This project will focus on applying advanced laser diagnostics to both the induced shock and post-detonation reactions. The REU student would work closely with Research Scientists and graduate students to design experiments, perform experiments, analyze data, and report/share these results. This project is from the AAMP-UP summer program, which provides STEM undergraduates the chance to participate in national defense and military research. The program is sponsored by the U.S. Army Research Laboratory in Aberdeen, MD. Research categories: High rate experiments, explosives",West Lafayette,"Material Processing and Characterization, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction Mechanical Engineering Aeronautical and Astronautical Engineering Materials Engineering Chemical Engineering,School of Mechanical Engineering,Steven Son,https://web.ics.purdue.edu/~sson/Son_Webpage/SonWeb_index.html
Predicting Carbon Intensity Using Deep Learning to Improve Environmental Sustainability,"The rapid growth of artificial intelligence and machine learning (ML) has led to a surge in energy demand for datacenter computing. This increased demand is a significant contributor to carbon emissions, with datacenters now accounting for approximately 2% of global carbon emissions. To mitigate these impacts, it is crucial to measure the carbon intensity of the electricity grid. By predicting future carbon intensity, datacenter operators can optimize workload scheduling to minimize their carbon footprint by executing tasks during periods and in regions with lower carbon intensity. However, accurate carbon intensity prediction remains challenging due to the influence of various factors, including energy source availability, weather conditions, and policy changes. This project aims to address this challenge by leveraging advanced machine learning techniques, such as deep learning and foundation models, to forecast future carbon intensity.  We are looking for self-motivated students with strong ML backgrounds (e.g., ML courses and internship experience) and programming skills in Python.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Ecology and Sustainability, Energy and Environment",No citizenship requirements,Computer Science Computer Engineering Data Science,Elmore Family School of Electrical and Computer Engineering,Yi Ding,https://arxiv.org/abs/2407.02390
Real-Time Chamber Music Companion,"Motivation: Chamber musicians sometimes need to gather for rehearsals. However, when the group is large, it is common that one or more musicians are absent during rehearsals due to schedule conflicts, illness, traffic congestion, etc. These absences can significantly reduce the effectiveness of rehearsals. This project aims to develop a computer program that serves as a real-time chamber music companion, capable of substituting for an absent musician during chamber music rehearsals. Project goals: The tool has the following functions: * Users can upload music in the form of MIDI or MusicXML of the absent musician. The tool can synthesize the audio of the musician. * The tool can detect the place in the music score played by the human musicians. * The tool can play the music that should be played by the absent musician and adjust the tempo based on the other musicians. * The tool can accept voice commands, such as ""louder"" or ""faster"" and adjust the volume or the speed accordingly This project will improve an existing project that already provides some of these functions.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Human Factors",No citizenship requirements,Computer Engineering Computer Science Electrical Engineering Computer and Information Technology,Elmore Family School of Electrical and Computer Engineering,Yung Hsiang Lu,https://ai4musicians.org/
Rydberg Photonics: Combining the Best of Both Worlds for the Next Quantum Revolution,"We are a group of physics, electrical, and computer engineers, and computer scientists who work on a novel interdisciplinary field of atom-nanophononics at the interface of atomic physics and quantum Nano-photonics. Our goal is to combine the best of both worlds to enable integrable, scalable, and robust quantum technologies on a chip like the electronic chips we are using daily. In our lab, we are working with Rydberg excitons, i.e. highly-excited giant atom-like systems in solid states. The electron wavefunctions of such excitons can be as large as microns, making them some of the most unique quantum objects that have such macroscopic sizes. Due to their large size, Rydberg excitons interact with each other strongly via the long-range van der Waals force. In our Quantum Nano-Photonics (QNP) lab, we utilize high-resolution laser spectroscopy techniques at cryogenic temperature mainly developed in the atomic physics field to study these Rydberg excitons and measure their interactions. Later we make Nano-photonic circuits composed of the waveguide, resonators, and beam splitters and combine them with Rydberg excitons to control the properties of these highly excited atoms on the chip scale. We also use pulsed laser spectroscopy techniques to excite these Rydberg excitons momentarily and study their relaxation and time dynamics. Further, we combine this technique with high-resolution fast microscopy to map the exciton dynamics and propagation spatially. Prior Experience ??We are excited to host researchers with previous experience or knowledge of optics lab, such as working with lasers, aligning the beam, and working with mirrors and lenses to shape and control the beam path. Previous programming skills in Python, Julia, or QT are desired but not required. Since our lab is in the Nano-technology center the intern will have the opportunity of visiting one of the most well-equipped cleanroom facilities among all Universities in the US.",West Lafayette,Other,No citizenship requirements,Physics,Elmore Family School of Electrical and Computer Engineering,Hadiseh Alaeian,https://engineering.purdue.edu/qnp
SBOMCtl: building a platform for efficient and secure software metadata exchange,"Software supply chain attacks are a devastating attack vector affecting industry and government alike. To prevent these, secure software supply chain metadata exchange platforms have been proposed, but their architectures haven't been fully realized. As such, we require to design and build a secure platform to capture and distribute software supply chain metadata.",West Lafayette,"Cybersecurity, Internet of Things (IoT)",No citizenship requirements,Computer Engineering Computer Science,Elmore Family School of Electrical and Computer Engineering,Santiago Torres-Arias,https://github.com/tselab/sbomctl
SCALE HI-AP: Engineering Materials for Thermal Transport for Semiconductor Packaging,"Does your phone or laptop ever get too hot to touch? Within electronic devices, heat generated by the components doing calculations must be dissipated to through the electronics package to the environment to prevent failure and to protect the users. This project focuses on engineering materials with either high thermal conductivity to effectively dissipate the heat or extremely low thermal conductivity to isolate and protect delicate components in the system (or combinations of material properties that enable routing of heat within the system). A combination of experimental property measurements, microstructural analysis, and performance tests will help identify routes to achieve better performance. Type of work Students in this project will fabricate new materials, measure their thermal properties, analyze their microstructures, integrate them into electronic packages, and/or test their thermal performance. Note that multiple students may contribute to the project in collaboration with graduate student mentoring.",West Lafayette,"Advanced Packaging, Energy and Environment, Heterogeneous Integration, Material Processing and Characterization, Microelectronics, Thermal Technology",U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Amy Marconnet,https://engineering.purdue.edu/MTEC
SCALE HI-AP: High-Temperature Solders for Aerospace and Defense,"Research Areas: Microelectronics, Technical Vertical name, other keywords Description Low-melting point metals based on tin are used to connect semiconductor packages to circuit boards.  The specific solder composition that is chosen for a product depends on the product's use conditions, for example, consider the differences in use conditions for a cell phone, an implanted pacemaker, strapped onto a car engine, and in a satellite. Micrograph of a solder for materials characterization This project explores the performance and manufacturing differences between solders for different use cases as a function of composition and application. We are collaborating with researchers from Auburn University, the University of Maryland, Raytheon, BAE Systems, and the Department of Defense to develop a guide for solder selection for aerospace and defense applications. These researchers have backgrounds in materials engineering, mechanical engineering, industrial engineering, and electrical engineering. Many different skill sets are needed and you will see different perspectives. This project will require extensive review of the literature and performing materials characterization, processing, manufacturing, and reliability experiments. Student researchers will learn a wide range of materials and mechanical property, processing, and characterization techniques and will work closely with faculty and graduate students from Materials Engineering and Mechanical Engineering. Type of work Review of the literature, materials characterization, processing, manufacturing, and reliability experiments.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Processing and Characterization, Microelectronics",U.S. Citizen,No Major Restriction,School of Materials Engineering,Carol Handwerker,N/A
SCALE HI-AP: Hybrid metamaterial designs with tunable physical properties for advanced photonic devices,"Description Unlike conventional integrated circuits (ICs), photonic integrated circuits (PIC) use photons instead of electrons to transmit and process information in both the classical and quantum regimes. They can provide transmission with higher interconnect bandwidths and long decoherence time for quantum systems. To enable these PICs, hetero-integration of various materials and device components is required similar to the integrated circuit designs in Si-based technology. Hybrid metamaterials that integrate two or more materials in one hybrid material with an artificially designed structure and physical properties are of interest as functional materials in potential PICs. In this project, various oxide-metal-based vertically aligned nanocomposite thin film hybrid metamaterials will be designed, processed, and tested for targeted optical components in PICs, such as wave guide structures and optical switches. Tunability will be achieved by materials selection, composition tuning, growth parameter tuning, and multilayer stacking. The work will start with thin film deposition, structural and property measurements, and then follow with multilayer integration, lift-off and device integration and testing as illustrated in Figure 1. (See the project description in nanoHUB for the figure). Through this effort, a device component will be demonstrated and integrated for photonic applications and a technical paper is expected. Type of work Thin film deposition by pulsed laser deposition and sputtering, thin film transfer, electrical testing using a four point probe station, optical testing, microscopy analysis and image analysis, thin film structure design and property prediction by COMSOL simulation (wave module).",West Lafayette,"Heterogeneous Integration, Material Processing and Characterization, Microelectronics",U.S. Citizen,Materials Engineering Electrical Engineering,School of Materials Engineering,Haiyan Wang,https://nanohub.org/groups/scale/research/purdue/surf
SCALE HI-AP: Interconnect Schemes for 3D Heterogeneous Integration and Advanced Packaging,"Research Areas: Heterogeneous Integration and Advanced Packaging, Interconnect technologies, thin-film materials Description As the demand for high performance computing increases, interconnect and die attach materials are needed to meet the requirements of 0.5 ?m line width, sub-10 ?m bump pitch, high I/O density, and power density for 1 nm Silicon Node and beyond (Figure 1).  Cu-pillar or micro-bump technology with hybrid bonding has achieved sub-1 ?m bump pitch posing several benefits such as increased I/O density, increased bandwidth, improved 3D stacking, enhanced power efficiency, and reduced parasitics and thermal resistance attributed to the absence of underfill. Although wafer-to-wafer (W2W) hybrid bonding can achieve 50 nm alignment accuracy; thermal budget, reliability, and chip-to-substrate hybrid bonding remain as drawbacks of this technology. In this study, novel Cu-pillar (micro-bump) bonding methods will be developed for chip-to-package interconnections at 10 ?m bump pitch. Co-Packaged Optics (CPO) is an advanced heterogeneous integration of optics and silicon on a single packaged substrate aimed at addressing next generation bandwidth and power challenges. Here, bonding methodologies for CPO will be developed. Process recipes, test structures and reliability testing will be developed for fine-pitch Cu-microbumps, through Si and through glass vias and CPO for long-term reliability. See the project description on the nanoHUB site for the image. Type of work Students in this project will develop new bonding methods for Cu-microbumps and evaluate reliability of test structures. Note that multiple students may contribute to the project in collaboration with graduate student mentoring.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Processing and Characterization, Microelectronics",U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Shubhra Bansal,https://engineering.purdue.edu/MTEC
SCALE HI-AP: Multijunction devices for electroluminescent on-chip cooling of 3D Stacked-Die Assembly,"Research Areas: Heterogeneous Integration and Advanced Packaging, optoelectronic materials, thin-film semiconductors, photovoltaics, light emitting diodes Description Rapid and continuing growth of compact 3D heterogeneously integrated (3D-HI) microsystems is limited by inadequate thermal management, which requires rejecting heat from semiconductor devices. 3D-HI microsystems employed in high-performance computing (HPC) typically consists of single layer of logic with stacked memory, but stacking of multiple-tiers of logic is limited due to lack of heat dissipation from hot-spots. State-of-the-art cooling technologies have a significant footprint that constrains the size, weight, and power (SWaP) of microsystems in high performance computing, including in artificial intelligence and machine learning applications. Electroluminescence, the underlying operating principle of light-emitting diodes (LEDs), is a phenomenon where the semiconductor emits light as a result of radiative recombination of injected charge carriers. Electroluminescence in LEDs can be a cooling process, as each electron-hole pair needs to absorb additional energy in the form of thermal lattice vibrations from semiconductor lattice to emit photons equivalent to the electronic bandgap energy of the semiconductor [1]. [1] Y. Park, S. Fui, ??ultijunction Electroluminescent Cooling?? PRX Energy, 3, 033002 (2024). Type of work Students in this project will model a multi-junction halide perovskite LEDs as a proof-of-concept for electroluminescent cooling. Note that multiple students may contribute to the project in collaboration with graduate student mentoring.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Modeling and Simulation, Microelectronics, Thermal Technology",U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Shubhra Bansal,https://engineering.purdue.edu/MTEC
SCALE HI-AP: Passive Two-Phase Thermosyphons for Energy Efficient Semiconductor Thermal Management,"Description Thermosyphons are widely used for thermal management in applications ranging from power electronics cooling to building heating ventilation and air conditioning, and others. A closed loop thermosyphon (CLT) is a gravity-assisted heat exchanger that stands out for its ability to transfer heat without relying on a pump. Additionally, CLTs have no moving parts, which makes them affordable, easy to maintain, and more reliable than pumped cooling systems. Despite these advantages, CLTs face challenges related to operational flow instabilities that cause undesired fluctuations in temperature, flow rate, and pressure which shorten the life of the CLT. Geyser boiling instabilities (GBIs) are known to occur in small-diameter CLTs with low-pressure fluids. While GBI has been studied extensively in reflux thermosyphons, there are few studies that investigate GBI in CLTs. This project is an experimental exploration of GBI in a small-diameter CLT with the aim of developing a predictive model for the onset of geyser boiling. For this work, a fully transparent CLT has been constructed with the capabilities of collecting local temperature and pressure data, high-speed flow visualization, and flow rate as shown in the image below. (See project on the nanoHUB website for the image).",West Lafayette,"Advanced Packaging, Energy and Environment, Heterogeneous Integration, Microelectronics, Thermal Technology",U.S. Citizen,Mechanical Engineering,School of Mechanical Engineering,Justin Weibel,https://engineering.purdue.edu/CTRC/research/index.php
SCALE HI-AP: Proximity Correction for Microscale 3D Printing Using Topology Optimization,"Research Areas: Microelectronics, Heterogeneous Integration and Advanced Packaging, Description Nano and micro-scale three-dimensional (3D) printing can be a powerful tool for future manufacturing at small scale, as shown in the Figure. However, the proximity effect, i.e., structure placement, starts to strongly affect their neighboring structures and cause undesired distortions. A practical solution is to perform correction steps to the printing pattern to account for the distortion, similar to the optical proximity correction approach used in 2D lithography. Here we will implement a microscale 3D printing method with software and hardware infrastructure that can support the optimized placements of 3D shapes based on the Topology Optimization method. Participants will learn the previous development and build upon existing infrastructures. Type of work Participants will learn the previous development and build upon existing infrastructures to develop a topology algorithm and software module that optimizes the printing parameters for the targeted 3D structures.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Microelectronics",U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Liang Pan,N/A
